03.06.2020 18:16:48.932 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 18:16:48.937 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 19:56:05.166 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 19:56:05.170 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 19:57:25.245 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 19:57:25.253 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:13:06.938 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:13:06.939 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:22:08.625 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:22:08.625 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:53:23.793 [main] INFO  stc.inno.Main - Начальный объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
03.06.2020 20:53:23.793 [main] INFO  stc.inno.Main - Итоговый объект: Mobile{id=4, model='Iphone 2', price=25000, manufacturer=Apple}
